Price,Predicted_Demand,Revenue
144.0,4.68911508854189,675.2325727500322
145.0,4.669685004118045,677.1043255971165
146.0,4.650468145088749,678.9683491829574
147.0,4.631460734961218,680.824728039299
148.0,4.612659089228262,682.6735452057827
149.0,4.594059612524619,684.5148822661682
150.0,4.575658795889596,686.3488193834394
151.0,4.557453214131363,688.1754353338358
152.0,4.539439523288485,689.9948075398497
153.0,4.521614458184481,691.8070121022256
154.0,4.503974830071428,693.612123831
155.0,4.486517524358815,695.4102162756163
156.0,4.4692394984240185,697.2013617541469
157.0,4.452137779500991,698.9856313816556
158.0,4.435209462643864,700.7630950977306
159.0,4.418451708762369,702.5338216932166
160.0,4.401861742726106,704.2978788361769
161.0,4.385436851534836,706.0553330971086
162.0,4.369174382552091,707.8062499734386
163.0,4.353071741799556,709.5506939133276
